field,unit,scale,sample_count,min,p01,p05,median,p95,p99,max,mean,std,mid_xy_gradient_mean_normalized,mid_xy_gradient_p99_normalized
CH4,mass fraction,1.0,500000,-6.361469633757001e-15,-6.359572242151527e-15,-4.8880514464420495e-15,-4.484742461863249e-15,0.03920000028483138,0.039200000459960395,0.0392000006076544,0.015463020595930532,0.018412855198059838,0.0027258684946604088,0.037358660576353404
O2,mass fraction,1.0,500000,0.06753351282849847,0.06753403457006348,0.06753525685440366,0.06756534536072364,0.22390000469478494,0.22390000519992956,0.22390000578538596,0.12923021321842357,0.07343647083177207,0.0027257206756359825,0.03725058604676101
CO,mass fraction,1.0,500000,-1.0354772682366903e-15,7.926073316240332e-14,1.7365708105935914e-11,8.454150901341469e-05,9.230406944220154e-05,0.0004031004183237138,0.00045396142232776836,6.039899086128603e-05,6.678385455999896e-05,0.0045060009587621075,0.09211138768221905
CO2,mass fraction,1.0,500000,-1.0354772682366903e-15,4.315218618302865e-12,1.0530358074708509e-09,0.10740483898962791,0.10742532433410301,0.1074253952329244,0.10742541414899855,0.06503142189623362,0.05044599945396603,0.002725778214204715,0.03698072232154027
H2O,mass fraction,1.0,500000,-1.0354772682366903e-15,3.6359684029414617e-12,8.854284547305278e-10,0.08804474031332657,0.08806172387163291,0.08806267901424841,0.08806310197195699,0.053318557005147746,0.04135974397455098,0.002725700383856044,0.03734955023580964
N2,mass fraction,1.0,500000,0.7368890637256791,0.7368892676394869,0.7368897122246247,0.7368972251309387,0.736899994288369,0.7369000026680516,0.7369000277427606,0.7368963882934032,3.7010602933497034e-06,0.002123107958433976,0.007386168199738455
TEMP,K,120.0,500000,299.98913489025955,299.994814885324,299.9995570526744,1837.9449287236778,1842.5118716762015,1843.0016307484382,1843.4199532325642,1237.0819275514514,720.4688866610308,0.002768797923742578,0.03607773813589569
PRES,Pa,141837.0,500000,101290.96886236107,101314.30110754946,101317.72612484054,101320.65912724053,101322.96906093853,101325.547611147,101329.2122166162,101320.68087036372,1.7190845449207612,0.0011623814473954509,0.007243206590605177
U,m/s,347.2,500000,-3.4277576319490772,-1.7020850202590851,-1.0353243728041803,1.3447241789391131,1.9708985672168453,2.7983900333871405,6.8083119928646525,0.9690952203739172,1.0094672341070585,0.004531765676691319,0.028091236352288572
V,m/s,347.2,500000,-3.9789667429120095,-1.9403710978614577,-1.2180597949292957,-0.08356832603663235,0.9787431343222492,1.8502724039414171,3.728092646384626,-0.09104164908232948,0.6478865141999335,0.003856253814811847,0.02481606783242153
W,m/s,347.2,500000,-2.958931346279302,-1.9620229254765484,-1.2852535928103512,-0.002444710428369806,0.8300320444915217,1.667286783240843,4.272345529405469,-0.08263468337371888,0.6325106704123677,0.005395579619753391,0.03524265690306528
