field,CH4,O2,CO,CO2,H2O,N2,TEMP,PRES,U,V,W
CH4,0.9999999999999998,0.9999999079572083,-0.6976369383370594,-0.9999988207266182,-0.9999999925751554,0.7984860716376145,-0.9998668108909011,0.0006269988545431082,-0.6593861405686336,-0.016468505103398104,-0.14493305054887098
O2,0.9999999079572083,1.0,-0.6973406113512131,-0.9999993750439292,-0.9999999307617624,0.7986352502448718,-0.9998654010699948,0.0006649307413104938,-0.6594021409471487,-0.016489585871630366,-0.14495191801089985
CO,-0.6976369383370595,-0.6973406113512131,0.9999999999999998,0.6965388643437785,0.6976072792765605,-0.4107198294300166,0.6993200191700122,0.051670366763796174,0.43352807641666974,-0.02087894287344902,0.0755584401539491
CO2,-0.999998820726618,-0.9999993750439291,0.6965388643437787,1.0,0.9999988897729885,-0.7988625733858798,0.9998615424989947,-0.0007462283968344081,0.659442746707563,0.01654008178782918,0.1449916273089664
H2O,-0.9999999925751555,-0.9999999307617625,0.6976072792765606,0.9999988897729883,1.0,-0.7985594243767082,0.9998664070293172,-0.0006378839104304521,0.6593884404627263,0.016472787505393317,0.14493866560494323
N2,0.7984860716376145,0.7986352502448719,-0.4107198294300166,-0.79886257338588,-0.7985594243767083,1.0,-0.7964067038440207,0.05436284138148837,-0.5378398411407316,-0.034493530481443824,-0.14351703049114814
TEMP,-0.9998668108909011,-0.9998654010699948,0.6993200191700122,0.9998615424989947,0.9998664070293172,-0.7964067038440207,1.0,0.0017931667294619356,0.6582581978116602,0.014668585692908971,0.1442168975800317
PRES,0.0006269988545431082,0.0006649307413104938,0.05167036676379618,-0.000746228396834408,-0.0006378839104304521,0.05436284138148837,0.0017931667294619354,1.0,0.0274669452329348,0.09863265456256669,0.02498683610299172
U,-0.6593861405686336,-0.6594021409471486,0.4335280764166697,0.6594427467075629,0.6593884404627263,-0.5378398411407316,0.6582581978116602,0.0274669452329348,1.0,-0.043690480253955576,0.05035572533460155
V,-0.0164685051033981,-0.016489585871630366,-0.020878942873449022,0.016540081787829175,0.016472787505393317,-0.034493530481443824,0.014668585692908971,0.0986326545625667,-0.04369048025395558,0.9999999999999999,-0.012831750360754105
W,-0.14493305054887096,-0.14495191801089985,0.0755584401539491,0.1449916273089664,0.14493866560494323,-0.14351703049114817,0.1442168975800317,0.024986836102991725,0.050355725334601545,-0.012831750360754105,0.9999999999999999
