eb,frame,rc,bytes
1.0,exafel_f000,0,2024229
1.0,exafel_f001,0,2156336
1.0,exafel_f002,0,2599634
1.0,exafel_f003,0,2570037
1.0,exafel_f004,0,2425839
1.0,exafel_f005,0,2617945
1.0,exafel_f006,0,1755053
1.0,exafel_f007,134,0
1.0,exafel_f008,134,0
1.0,exafel_f009,0,2574141
1.0,exafel_f010,134,0
1.0,exafel_f011,134,0
1.0,exafel_f012,134,0
1.0,exafel_f013,134,0
1.0,exafel_f014,134,0
1.0,exafel_f015,134,0
1.0,exafel_f016,134,0
1.0,exafel_f017,0,2593131
1.0,exafel_f018,0,2314489
1.0,exafel_f019,134,0
1.0,exafel_f020,134,0
1.0,exafel_f021,134,0
1.0,exafel_f022,0,2490347
1.0,exafel_f023,134,0
1.0,exafel_f024,0,2518599
1.0,exafel_f025,134,0
1.0,exafel_f026,134,0
1.0,exafel_f027,134,0
1.0,exafel_f028,134,0
1.0,exafel_f029,0,2400095
1.0,exafel_f030,134,0
1.0,exafel_f031,0,2491040
1.0,exafel_f032,0,2633368
1.0,exafel_f033,134,0
1.0,exafel_f034,134,0
1.0,exafel_f035,134,0
1.0,exafel_f036,134,0
1.0,exafel_f037,134,0
1.0,exafel_f038,0,2406334
1.0,exafel_f039,0,2609419
1.0,exafel_f040,0,2108524
1.0,exafel_f041,134,0
1.0,exafel_f042,134,0
1.0,exafel_f043,134,0
1.0,exafel_f044,0,2320714
1.0,exafel_f045,134,0
1.0,exafel_f046,134,0
1.0,exafel_f047,134,0
1.0,exafel_f048,0,2538282
1.0,exafel_f049,134,0
1.0,exafel_f050,134,0
1.0,exafel_f051,134,0
1.0,exafel_f052,0,2276879
1.0,exafel_f053,134,0
1.0,exafel_f054,134,0
1.0,exafel_f055,0,2209931
1.0,exafel_f056,0,2389999
1.0,exafel_f057,0,2652535
1.0,exafel_f058,134,0
1.0,exafel_f059,0,2318638
1.0,exafel_f060,134,0
1.0,exafel_f061,0,2106828
1.0,exafel_f062,0,2369973
1.0,exafel_f063,0,2604896
1.0,exafel_f064,134,0
1.0,exafel_f065,134,0
1.0,exafel_f066,0,2370479
1.0,exafel_f067,134,0
1.0,exafel_f068,134,0
1.0,exafel_f069,134,0
1.0,exafel_f070,0,2488599
1.0,exafel_f071,134,0
1.0,exafel_f072,134,0
1.0,exafel_f073,134,0
1.0,exafel_f074,0,2393732
1.0,exafel_f075,0,1907478
1.0,exafel_f076,0,2199289
1.0,exafel_f077,134,0
1.0,exafel_f078,134,0
1.0,exafel_f079,0,2512567
1.0,exafel_f080,134,0
1.0,exafel_f081,134,0
1.0,exafel_f082,134,0
1.0,exafel_f083,0,2182890
1.0,exafel_f084,134,0
1.0,exafel_f085,0,2341729
1.0,exafel_f086,0,2328165
1.0,exafel_f087,0,2589656
1.0,exafel_f088,0,2184844
1.0,exafel_f089,0,2377570
1.0,exafel_f090,134,0
1.0,exafel_f091,134,0
1.0,exafel_f092,134,0
1.0,exafel_f093,134,0
1.0,exafel_f094,134,0
1.0,exafel_f095,134,0
1.0,exafel_f096,134,0
1.0,exafel_f097,0,2605309
1.0,exafel_f098,134,0
1.0,exafel_f099,134,0
1.0,exafel_f100,134,0
1.0,exafel_f101,0,2075084
1.0,exafel_f102,134,0
1.0,exafel_f103,134,0
1.0,exafel_f104,0,2463598
1.0,exafel_f105,134,0
1.0,exafel_f106,134,0
1.0,exafel_f107,0,2605535
1.0,exafel_f108,134,0
1.0,exafel_f109,134,0
1.0,exafel_f110,134,0
1.0,exafel_f111,134,0
1.0,exafel_f112,134,0
1.0,exafel_f113,134,0
1.0,exafel_f114,134,0
1.0,exafel_f115,134,0
1.0,exafel_f116,134,0
1.0,exafel_f117,134,0
1.0,exafel_f118,134,0
1.0,exafel_f119,134,0
1.0,exafel_f120,134,0
1.0,exafel_f121,134,0
1.0,exafel_f122,134,0
1.0,exafel_f123,0,2107171
1.0,exafel_f124,134,0
1.0,exafel_f125,0,2466238
1.0,exafel_f126,134,0
1.0,exafel_f127,134,0
1.0,exafel_f128,134,0
1.0,exafel_f129,134,0
2.0,exafel_f000,0,1727583
2.0,exafel_f001,0,1838683
2.0,exafel_f002,0,1999046
2.0,exafel_f003,0,1992090
2.0,exafel_f004,0,1953630
2.0,exafel_f005,0,2017461
2.0,exafel_f006,0,1472542
2.0,exafel_f007,0,2031677
2.0,exafel_f008,0,2064617
2.0,exafel_f009,0,1998821
2.0,exafel_f010,0,2042621
2.0,exafel_f011,0,2063679
2.0,exafel_f012,0,2108658
2.0,exafel_f013,0,2268062
2.0,exafel_f014,0,2129049
2.0,exafel_f015,0,2079679
2.0,exafel_f016,0,2230306
2.0,exafel_f017,0,2000498
2.0,exafel_f018,0,1923976
2.0,exafel_f019,0,2090317
2.0,exafel_f020,0,2028353
2.0,exafel_f021,0,2069890
2.0,exafel_f022,0,1975058
2.0,exafel_f023,0,2139120
2.0,exafel_f024,0,1982723
2.0,exafel_f025,0,2021131
2.0,exafel_f026,0,2152396
2.0,exafel_f027,0,2154851
2.0,exafel_f028,0,2154326
2.0,exafel_f029,0,1944323
2.0,exafel_f030,0,2225259
2.0,exafel_f031,0,1978802
2.0,exafel_f032,0,2006360
2.0,exafel_f033,0,2034631
2.0,exafel_f034,0,2115632
2.0,exafel_f035,0,2071761
2.0,exafel_f036,0,2131358
2.0,exafel_f037,0,2144033
2.0,exafel_f038,0,1947393
2.0,exafel_f039,0,2001910
2.0,exafel_f040,0,1802972
2.0,exafel_f041,0,2155108
2.0,exafel_f042,0,2079722
2.0,exafel_f043,0,2172135
2.0,exafel_f044,0,1917567
2.0,exafel_f045,0,2128585
2.0,exafel_f046,0,2116329
2.0,exafel_f047,0,2184020
2.0,exafel_f048,0,1984709
2.0,exafel_f049,0,2150044
2.0,exafel_f050,0,2198559
2.0,exafel_f051,0,2165014
2.0,exafel_f052,0,1901603
2.0,exafel_f053,0,2256946
2.0,exafel_f054,0,2231996
2.0,exafel_f055,0,1870694
2.0,exafel_f056,0,1951552
2.0,exafel_f057,0,2015607
2.0,exafel_f058,0,2145082
2.0,exafel_f059,0,1921168
2.0,exafel_f060,0,2174250
2.0,exafel_f061,0,1801024
2.0,exafel_f062,0,1933002
2.0,exafel_f063,0,2003587
2.0,exafel_f064,0,2078530
2.0,exafel_f065,0,2028809
2.0,exafel_f066,0,1944581
2.0,exafel_f067,0,2097045
2.0,exafel_f068,0,2101856
2.0,exafel_f069,0,2113117
2.0,exafel_f070,0,1972725
2.0,exafel_f071,0,2052214
2.0,exafel_f072,0,2021847
2.0,exafel_f073,0,2075549
2.0,exafel_f074,0,1941699
2.0,exafel_f075,0,1623212
2.0,exafel_f076,0,1858473
2.0,exafel_f077,0,2098505
2.0,exafel_f078,0,2112248
2.0,exafel_f079,0,1978103
2.0,exafel_f080,0,2089023
2.0,exafel_f081,0,2094373
2.0,exafel_f082,0,2184300
2.0,exafel_f083,0,1850933
2.0,exafel_f084,0,2129183
2.0,exafel_f085,0,1925414
2.0,exafel_f086,0,1919598
2.0,exafel_f087,0,1996960
2.0,exafel_f088,0,1857838
2.0,exafel_f089,0,1938503
2.0,exafel_f090,0,2232673
2.0,exafel_f091,0,2105142
2.0,exafel_f092,0,2121310
2.0,exafel_f093,0,2032290
2.0,exafel_f094,0,2223909
2.0,exafel_f095,0,2024280
2.0,exafel_f096,0,2108009
2.0,exafel_f097,0,2010043
2.0,exafel_f098,0,2176203
2.0,exafel_f099,0,2408798
2.0,exafel_f100,0,2143891
2.0,exafel_f101,0,1774211
2.0,exafel_f102,0,2211092
2.0,exafel_f103,0,2193000
2.0,exafel_f104,0,1974115
2.0,exafel_f105,0,2110159
2.0,exafel_f106,0,2069931
2.0,exafel_f107,0,2008039
2.0,exafel_f108,0,2187072
2.0,exafel_f109,0,2254146
2.0,exafel_f110,0,2282786
2.0,exafel_f111,0,2249106
2.0,exafel_f112,0,2221693
2.0,exafel_f113,0,2262115
2.0,exafel_f114,0,2205583
2.0,exafel_f115,0,2070743
2.0,exafel_f116,0,2207500
2.0,exafel_f117,0,2076984
2.0,exafel_f118,0,2251181
2.0,exafel_f119,0,2133003
2.0,exafel_f120,0,2247296
2.0,exafel_f121,0,2373420
2.0,exafel_f122,0,2120224
2.0,exafel_f123,0,1796279
2.0,exafel_f124,0,2270235
2.0,exafel_f125,0,1962898
2.0,exafel_f126,0,2274414
2.0,exafel_f127,0,2158300
2.0,exafel_f128,0,2191987
2.0,exafel_f129,0,2214262
5.0,exafel_f000,0,1349505
5.0,exafel_f001,0,1449250
5.0,exafel_f002,0,1618099
5.0,exafel_f003,0,1616652
5.0,exafel_f004,0,1576679
5.0,exafel_f005,0,1626597
5.0,exafel_f006,0,1091613
5.0,exafel_f007,0,1653068
5.0,exafel_f008,0,1671816
5.0,exafel_f009,0,1618321
5.0,exafel_f010,0,1662396
5.0,exafel_f011,0,1678013
5.0,exafel_f012,0,1701050
5.0,exafel_f013,0,1800256
5.0,exafel_f014,0,1715414
5.0,exafel_f015,0,1687577
5.0,exafel_f016,0,1774461
5.0,exafel_f017,0,1615347
5.0,exafel_f018,0,1531490
5.0,exafel_f019,0,1695461
5.0,exafel_f020,0,1640404
5.0,exafel_f021,0,1679457
5.0,exafel_f022,0,1595193
5.0,exafel_f023,0,1723650
5.0,exafel_f024,0,1603804
5.0,exafel_f025,0,1642250
5.0,exafel_f026,0,1731891
5.0,exafel_f027,0,1734066
5.0,exafel_f028,0,1735015
5.0,exafel_f029,0,1561617
5.0,exafel_f030,0,1779645
5.0,exafel_f031,0,1596297
5.0,exafel_f032,0,1625473
5.0,exafel_f033,0,1645721
5.0,exafel_f034,0,1707304
5.0,exafel_f035,0,1680693
5.0,exafel_f036,0,1727476
5.0,exafel_f037,0,1724813
5.0,exafel_f038,0,1570684
5.0,exafel_f039,0,1626186
5.0,exafel_f040,0,1422820
5.0,exafel_f041,0,1738509
5.0,exafel_f042,0,1683416
5.0,exafel_f043,0,1746746
5.0,exafel_f044,0,1536797
5.0,exafel_f045,0,1713034
5.0,exafel_f046,0,1704567
5.0,exafel_f047,0,1757487
5.0,exafel_f048,0,1602857
5.0,exafel_f049,0,1732854
5.0,exafel_f050,0,1762216
5.0,exafel_f051,0,1738589
5.0,exafel_f052,0,1510547
5.0,exafel_f053,0,1788907
5.0,exafel_f054,0,1783187
5.0,exafel_f055,0,1476429
5.0,exafel_f056,0,1558014
5.0,exafel_f057,0,1631795
5.0,exafel_f058,0,1724801
5.0,exafel_f059,0,1534796
5.0,exafel_f060,0,1745735
5.0,exafel_f061,0,1415175
5.0,exafel_f062,0,1549894
5.0,exafel_f063,0,1616753
5.0,exafel_f064,0,1687817
5.0,exafel_f065,0,1642784
5.0,exafel_f066,0,1559228
5.0,exafel_f067,0,1700234
5.0,exafel_f068,0,1703377
5.0,exafel_f069,0,1703590
5.0,exafel_f070,0,1590266
5.0,exafel_f071,0,1664261
5.0,exafel_f072,0,1644895
5.0,exafel_f073,0,1683050
5.0,exafel_f074,0,1564723
5.0,exafel_f075,0,1250229
5.0,exafel_f076,0,1479659
5.0,exafel_f077,0,1695522
5.0,exafel_f078,0,1701816
5.0,exafel_f079,0,1596025
5.0,exafel_f080,0,1693225
5.0,exafel_f081,0,1689593
5.0,exafel_f082,0,1755118
5.0,exafel_f083,0,1471007
5.0,exafel_f084,0,1718822
5.0,exafel_f085,0,1545496
5.0,exafel_f086,0,1534752
5.0,exafel_f087,0,1621828
5.0,exafel_f088,0,1471956
5.0,exafel_f089,0,1553687
5.0,exafel_f090,0,1776258
5.0,exafel_f091,0,1705264
5.0,exafel_f092,0,1713012
5.0,exafel_f093,0,1655211
5.0,exafel_f094,0,1775497
5.0,exafel_f095,0,1634924
5.0,exafel_f096,0,1697748
5.0,exafel_f097,0,1630219
5.0,exafel_f098,0,1749450
5.0,exafel_f099,0,1862867
5.0,exafel_f100,0,1724031
5.0,exafel_f101,0,1395347
5.0,exafel_f102,0,1767672
5.0,exafel_f103,0,1761635
5.0,exafel_f104,0,1590607
5.0,exafel_f105,0,1705583
5.0,exafel_f106,0,1675229
5.0,exafel_f107,0,1619919
5.0,exafel_f108,0,1754049
5.0,exafel_f109,0,1794067
5.0,exafel_f110,0,1808201
5.0,exafel_f111,0,1790520
5.0,exafel_f112,0,1774612
5.0,exafel_f113,0,1791385
5.0,exafel_f114,0,1767963
5.0,exafel_f115,0,1680981
5.0,exafel_f116,0,1770961
5.0,exafel_f117,0,1682054
5.0,exafel_f118,0,1793005
5.0,exafel_f119,0,1716027
5.0,exafel_f120,0,1791670
5.0,exafel_f121,0,1840289
5.0,exafel_f122,0,1708078
5.0,exafel_f123,0,1421811
5.0,exafel_f124,0,1798407
5.0,exafel_f125,0,1581250
5.0,exafel_f126,0,1794646
5.0,exafel_f127,0,1732652
5.0,exafel_f128,0,1759358
5.0,exafel_f129,0,1766874
10.0,exafel_f000,0,1066469
10.0,exafel_f001,0,1170983
10.0,exafel_f002,0,1331217
10.0,exafel_f003,0,1323862
10.0,exafel_f004,0,1292319
10.0,exafel_f005,0,1337273
10.0,exafel_f006,0,842686
10.0,exafel_f007,0,1360518
10.0,exafel_f008,0,1389312
10.0,exafel_f009,0,1331041
10.0,exafel_f010,0,1376261
10.0,exafel_f011,0,1388196
