arm,bg_bound_ok,bg_max_abs_err,bg_psnr_db,bin_factor,cmp_gbs,compressed_bytes,cr,dataset,dec_gbs,eb_bg,eb_roi,frame,global_max_abs_err,global_psnr_db,half_width,npeaks,roi_bound_ok,roi_frac_pct,roi_max_abs_err,roi_pixels,roi_psnr_db,status,tuning,value_range
roibin_b1,1,100.0,45.651091060016284,1,87.48324,761072,12.072234952803415,CXIDB21,87.750611,100.0,10.0,run0015_145854_38bb,100.0,45.65340632777702,4,16,1,0.05385378935636668,10.0,1237,65.50480447686616,ok,,9957.0
roibin_b2,n/a,5253.0,38.09442306364439,2,119.28542,191184,48.05757804000335,CXIDB21,97.693092,100.0,10.0,run0015_145854_38bb,5253.0,38.09675828588828,4,16,1,0.05385378935636668,10.0,1237,65.50480447686616,ok,,9957.0
cuszhi,1,10.0,65.25901674294923,1,26.210233237482317,1232264,7.456064609531723,CXIDB21,22.965925451927692,100.0,10.0,run0015_145854_38bb,10.0,65.25886172163645,4,16,1,0.05385378935636668,9.99267578125,1237,64.98029411242395,ok,spline/cr-first/cr,9957.0
pfpl,1,10.0,64.84536942403373,1,176.41781874039938,1332219,6.896643870114448,CXIDB21,162.3063877897117,100.0,10.0,run0015_145854_38bb,10.0,64.84569892003015,4,16,1,0.05385378935636668,10.0,1237,65.50480447686616,ok,,9957.0
cuszp3,1,10.0,64.84536942403373,1,134.67167,1582112,5.8073259036022735,CXIDB21,130.21315,100.0,10.0,run0015_145854_38bb,10.0,64.84569892003015,4,16,1,0.05385378935636668,10.0,1237,65.50480447686616,ok,,9957.0
roibin_b1,1,100.0,44.68144276753348,1,84.422227,447936,20.51150164309187,CXIDB21,90.88952,100.0,10.0,run0015_145855_3981,100.0,44.68431841557021,4,19,1,0.0670016021175815,10.0,1539,63.8613286261331,ok,,8793.0
roibin_b2,n/a,1330.0,42.34955777161246,2,120.33529,100208,91.6876896056203,CXIDB21,102.32359,100.0,10.0,run0015_145855_3981,1330.0,42.35244803140053,4,19,1,0.0670016021175815,10.0,1539,63.8613286261331,ok,,8793.0
cuszhi,1,10.0,64.38913680249337,1,27.28872256378271,894687,10.269334415275956,CXIDB21,25.327040973845545,100.0,10.0,run0015_145855_3981,10.0,64.38858938317432,4,19,1,0.0670016021175815,9.989501953125,1539,63.640465614825736,ok,spline/cr-first/cr,8793.0
pfpl,1,10.0,63.504855464760865,1,178.77957658779576,975318,9.420353156611485,CXIDB21,164.16237850200113,100.0,10.0,run0015_145855_3981,10.0,63.50508477409908,4,19,1,0.0670016021175815,10.0,1539,63.8613286261331,ok,,8793.0
cuszp3,1,10.0,63.504855464760865,1,139.71776,1138736,8.068454848182546,CXIDB21,135.88263,100.0,10.0,run0015_145855_3981,10.0,63.50508477409908,4,19,1,0.0670016021175815,10.0,1539,63.8613286261331,ok,,8793.0
roibin_b1,1,100.0,44.384738865551434,1,87.777438,652272,14.085902813550176,CXIDB21,88.781696,100.0,10.0,run0015_145901_42cc,100.0,44.38738058133606,4,18,1,0.061429019225410976,10.0,1411,64.3462273596683,ok,,9066.0
roibin_b2,n/a,4467.0,39.56232952631197,2,116.71544,162016,56.70946079399565,CXIDB21,105.94834,100.0,10.0,run0015_145901_42cc,4467.0,39.564989302200416,4,18,1,0.061429019225410976,10.0,1411,64.3462273596683,ok,,9066.0
cuszhi,1,10.0,64.49864410261748,1,26.79635378919232,1110273,8.27529805732464,CXIDB21,23.70835225630651,100.0,10.0,run0015_145901_42cc,10.0,64.49836607184031,4,18,1,0.061429019225410976,9.99542236328125,1411,64.06809007649117,ok,spline/cr-first/cr,9066.0
pfpl,1,10.0,64.06839760674653,1,178.0037197768134,1219555,7.533764364870793,CXIDB21,161.94021432600113,100.0,10.0,run0015_145901_42cc,10.0,64.06856293351105,4,18,1,0.061429019225410976,10.0,1411,64.3462273596683,ok,,9066.0
cuszp3,1,10.0,64.06839760674653,1,135.68998,1426256,6.441929078650677,CXIDB21,132.9875,100.0,10.0,run0015_145901_42cc,10.0,64.06856293351105,4,18,1,0.061429019225410976,10.0,1411,64.3462273596683,ok,,9066.0
roibin_b1,1,100.0,45.94033256596206,1,84.896513,749312,12.261701400751623,CXIDB21,87.111652,100.0,10.0,run0015_145905_471f,100.0,45.94831189922688,4,53,1,0.18572373920312063,10.0,4266,65.28148872780737,ok,,10290.0
roibin_b2,n/a,5320.0,38.67550681789588,2,111.63297,191104,48.07769591426658,CXIDB21,102.28714,100.0,10.0,run0015_145905_471f,5320.0,38.68356254213286,4,53,1,0.18572373920312063,10.0,4266,65.28148872780737,ok,,10290.0
cuszhi,1,10.0,65.56870961990006,1,26.223361974606735,1215851,7.556715419899313,CXIDB21,23.184754521963825,100.0,10.0,run0015_145905_471f,10.0,65.56776175693855,4,53,1,0.18572373920312063,10.0,4266,65.0861256219666,ok,spline/cr-first/cr,10290.0
