arm,bg_bound_ok,bg_max_abs_err,bg_psnr_db,bin_factor,cmp_gbs,compressed_bytes,cr,dataset,dec_gbs,eb_bg,eb_roi,frame,global_max_abs_err,global_psnr_db,half_width,npeaks,roi_bound_ok,roi_frac_pct,roi_max_abs_err,roi_pixels,roi_psnr_db,status,tuning,value_range
roibin_b1,1,990.0046997070312,42.320953188343026,1,94.478444,48080,191.09484193011647,EXAFEL,90.119271,1000.0,10.0,exafel_f000,990.0046997070312,42.33737243295052,4,108,1,0.37967574533296183,9.997665405273438,8721,64.45563595181176,ok,,8963.193359375
roibin_b2,n/a,2937.54150390625,42.31512308807165,2,117.86536,20272,453.2280978689818,EXAFEL,106.61715,1000.0,10.0,exafel_f000,2937.54150390625,42.331542468501425,4,108,1,0.37967574533296183,9.997665405273438,8721,64.45563595181176,ok,,8963.193359375
cuszhi,1,9.999996185302734,63.84592930131675,1,27.29176227712552,1066505,8.614905696644648,EXAFEL,29.733340237145963,1000.0,10.0,exafel_f000,9.999996185302734,63.845930901534885,4,108,1,0.37967574533296183,9.994696855545044,8721,63.84635079136871,ok,spline/cr-first/cr,8963.193359375
pfpl,1,9.999984741210938,64.83178648402334,1,178.61275272161743,1247861,7.362871345446328,EXAFEL,162.9049645390071,1000.0,10.0,exafel_f000,9.999984741210938,64.83029491546989,4,108,1,0.37967574533296183,9.997665405273438,8721,64.45563595181176,ok,,8963.193359375
cuszp3,1,9.999984741210938,64.83178648402334,1,136.91942,1323696,6.941049908740376,EXAFEL,134.48244,1000.0,10.0,exafel_f000,9.999984741210938,64.83029491546989,4,108,1,0.37967574533296183,9.997665405273438,8721,64.45563595181176,ok,,8963.193359375
roibin_b1,1,988.6797485351562,41.44334199341152,1,91.673049,45696,201.06442577030813,EXAFEL,88.754252,1000.0,10.0,exafel_f001,988.6797485351562,41.45370352498577,4,68,1,0.23901156310950125,9.998992919921875,5490,66.69745879791057,ok,,12237.861328125
roibin_b2,n/a,3040.4931640625,41.435257544173666,2,115.26294,17776,516.8676867686769,EXAFEL,105.75322,1000.0,10.0,exafel_f001,3040.4931640625,41.44561913346304,4,68,1,0.23901156310950125,9.998992919921875,5490,66.69745879791057,ok,,12237.861328125
cuszhi,1,9.999987602233887,66.53637620922768,1,27.101453764049833,1171025,7.845981084946948,EXAFEL,30.120115394702335,1000.0,10.0,exafel_f001,9.999987602233887,66.5364223000752,4,68,1,0.23901156310950125,9.99908447265625,5490,66.55570298721969,ok,spline/cr-first/cr,12237.861328125
pfpl,1,10.0,67.04594218609664,1,176.30948725821307,1368753,6.712562456484114,EXAFEL,138.3710843373494,1000.0,10.0,exafel_f001,10.0,67.04507502794957,4,68,1,0.23901156310950125,9.998992919921875,5490,66.69745879791057,ok,,12237.861328125
cuszp3,1,10.0,67.04594218609664,1,137.64142,1407632,6.527160507860009,EXAFEL,133.60632,1000.0,10.0,exafel_f001,10.0,67.04507502794957,4,68,1,0.23901156310950125,9.998992919921875,5490,66.69745879791057,ok,,12237.861328125
roibin_b1,1,999.5912475585938,34.19021874481233,1,94.727812,43120,213.0760667903525,EXAFEL,88.290281,1000.0,10.0,exafel_f002,999.5912475585938,34.19352250865988,4,22,1,0.07610058512120367,9.99664306640625,1748,65.40450200538336,ok,,10702.7490234375
roibin_b2,n/a,1678.022705078125,34.18223636926752,2,110.43077,13696,670.8411214953271,EXAFEL,102.94729,1000.0,10.0,exafel_f002,1678.022705078125,34.18554013770729,4,22,1,0.07610058512120367,9.99664306640625,1748,65.40450200538336,ok,,10702.7490234375
cuszhi,1,10.0,65.36163513080488,1,27.28284770424261,1331257,6.901627559517058,EXAFEL,28.87514456680243,1000.0,10.0,exafel_f002,10.0,65.36167837421608,4,22,1,0.07610058512120367,9.991592407226562,1748,65.41883388714847,ok,spline/cr-first/cr,10702.7490234375
pfpl,1,10.0,65.49991659538827,1,176.79802955665025,1533981,5.9895396357582005,EXAFEL,161.25807357483853,1000.0,10.0,exafel_f002,10.0,65.49984318144064,4,22,1,0.07610058512120367,9.99664306640625,1748,65.40450200538336,ok,,10702.7490234375
cuszp3,1,10.0,65.49991659538827,1,135.88263,1578272,5.82145536384096,EXAFEL,133.04913,1000.0,10.0,exafel_f002,10.0,65.49984318144064,4,22,1,0.07610058512120367,9.99664306640625,1748,65.40450200538336,ok,,10702.7490234375
roibin_b1,1,999.97119140625,37.228970861210286,1,84.646227,44624,205.8945858730728,EXAFEL,83.85514,1000.0,10.0,exafel_f003,999.97119140625,37.23448358878783,4,36,1,0.12695040401225968,9.998779296875,2916,68.45667806788543,ok,,14852.6728515625
roibin_b2,n/a,3545.838623046875,37.21737213024721,2,114.20843,14960,614.1604278074866,EXAFEL,108.22465,1000.0,10.0,exafel_f003,3545.838623046875,37.222884868922776,4,36,1,0.12695040401225968,9.998779296875,2916,68.45667806788543,ok,,14852.6728515625
cuszhi,1,10.0,68.21411851289567,1,27.34598270756135,1323901,6.939975118985483,EXAFEL,29.08722520514639,1000.0,10.0,exafel_f003,10.0,68.21408130775136,4,36,1,0.12695040401225968,9.998273849487305,2916,68.18490999490845,ok,spline/cr-first/cr,14852.6728515625
pfpl,1,9.999984741210938,68.35732366831168,1,175.12656297651722,1527492,6.014984039196277,EXAFEL,161.48481439820023,1000.0,10.0,exafel_f003,9.999984741210938,68.35744836909343,4,36,1,0.12695040401225968,9.998779296875,2916,68.45667806788543,ok,,14852.6728515625
cuszp3,1,9.999984741210938,68.35732366831168,1,138.17132,1571392,5.846943347045167,EXAFEL,130.50909,1000.0,10.0,exafel_f003,9.999984741210938,68.35744836909343,4,36,1,0.12695040401225968,9.998779296875,2916,68.45667806788543,ok,,14852.6728515625
