arm,bg_bound_ok,bg_max_abs_err,bg_psnr_db,bin_factor,cmp_gbs,compressed_bytes,cr,dataset,dec_gbs,eb_bg,eb_roi,error,frame,global_max_abs_err,global_psnr_db,half_width,npeaks,roi_bound_ok,roi_frac_pct,roi_max_abs_err,roi_pixels,roi_psnr_db,status,tuning,value_range
roibin_b1,1,9.999984741210938,64.83178648402334,1,87.217499,1337328,6.87029659141213,EXAFEL,88.508014,10.0,1.0,,exafel_f000,9.999984741210938,64.84809935618432,4,108,1,0.37967574533296183,0.9999198913574219,8721,83.84752519321313,ok,,8963.193359375
roibin_b2,n/a,2157.54150390625,47.60064625685686,2,109.58779,286336,32.08761734465802,EXAFEL,104.17997,10.0,1.0,,exafel_f000,2157.54150390625,47.61716281909213,4,108,1,0.37967574533296183,0.9999198913574219,8721,83.84752519321313,ok,,8963.193359375
cuszhi,1,1.0,83.82170847750685,1,26.348120713659938,2024300,4.538773897149632,EXAFEL,25.815500809206977,10.0,1.0,,exafel_f000,1.0,83.821611406357,4,108,1,0.37967574533296183,0.9997711181640625,8721,83.79621629957799,ok,spline/cr-first/cr,8963.193359375
pfpl,1,0.9999866485595703,83.82383934984837,1,174.17045799211405,2442413,3.761788035029293,EXAFEL,161.98589562764457,10.0,1.0,,exafel_f000,0.9999866485595703,83.82392903539045,4,108,1,0.37967574533296183,0.9999198913574219,8721,83.84752519321313,ok,,8963.193359375
cuszp3,1,0.9999866485595703,83.82383934984837,1,129.91855,2250992,4.0816848749351395,EXAFEL,133.3581,10.0,1.0,,exafel_f000,0.9999866485595703,83.82392903539045,4,108,1,0.37967574533296183,0.9999198913574219,8721,83.84752519321313,ok,,8963.193359375
roibin_b1,1,10.0,67.04594218609664,1,85.63078,1417184,6.483166617743356,EXAFEL,87.058824,10.0,1.0,,exafel_f001,10.0,67.05621702552854,4,68,1,0.23901156310950125,0.9999432563781738,5490,86.50960141762555,ok,,12237.861328125
roibin_b2,n/a,3740.4931640625,48.121616487537665,2,113.53104,307360,29.892764185320146,EXAFEL,105.24926,10.0,1.0,,exafel_f001,3740.4931640625,48.13200754435613,4,68,1,0.23901156310950125,0.9999432563781738,5490,86.50960141762555,ok,,12237.861328125
cuszhi,1,1.0000009536743164,86.5304327760662,1,26.15278639621535,2156351,4.260827666738857,EXAFEL,26.0864034888475,10.0,1.0,,exafel_f001,1.0000009536743164,86.53034606286872,4,68,1,0.23901156310950125,0.999603271484375,5490,86.49430319772264,ok,spline/cr-first/cr,12237.861328125
pfpl,1,1.0,86.52821481365078,1,171.77385581812743,2486223,3.695501167835709,EXAFEL,159.91088833194095,10.0,1.0,,exafel_f001,1.0,86.52817023023873,4,68,1,0.23901156310950125,0.9999432563781738,5490,86.50960141762555,ok,,12237.861328125
cuszp3,1,1.0,86.52821481365078,1,129.10072,2351040,3.9079896556417584,EXAFEL,132.68023,10.0,1.0,,exafel_f001,1.0,86.52817023023873,4,68,1,0.23901156310950125,0.9999432563781738,5490,86.50960141762555,ok,,12237.861328125
roibin_b1,1,10.0,65.49991659538827,1,85.528747,1582368,5.806386377884285,EXAFEL,88.371805,10.0,1.0,,exafel_f002,10.0,65.50318985740027,4,22,1,0.07610058512120367,0.9999847412109375,1748,85.50944659104184,ok,,10702.7490234375
roibin_b2,n/a,1578.022705078125,43.50066884238964,2,113.7109,351568,26.133891594229283,EXAFEL,105.05671,10.0,1.0,,exafel_f002,1578.022705078125,43.50397489874216,4,22,1,0.07610058512120367,0.9999847412109375,1748,85.50944659104184,ok,,10702.7490234375
cuszhi,1,1.0000057220458984,85.36125515671208,1,42.80262373285629,2500621,3.674223322926585,EXAFEL,70.49349373925853,10.0,1.0,,exafel_f002,1.0000057220458984,85.36128020461285,4,22,1,0.07610058512120367,0.99969482421875,1748,85.39429462213819,ok,spline/cr-first/tp,10702.7490234375
pfpl,1,1.0,85.36107248599309,1,154.49018025289212,2565883,3.5807712198880464,EXAFEL,159.46681477367397,10.0,1.0,,exafel_f002,1.0,85.36118349394107,4,22,1,0.07610058512120367,0.9999847412109375,1748,85.50944659104184,ok,,10702.7490234375
cuszp3,1,1.0,85.36107248599309,1,127.60889,2508944,3.6620347046406776,EXAFEL,131.52542,10.0,1.0,,exafel_f002,1.0,85.36118349394107,4,22,1,0.07610058512120367,0.9999847412109375,1748,85.50944659104184,ok,,10702.7490234375
roibin_b1,1,9.999984741210938,68.35732366831168,1,86.612366,1577152,5.825589416872946,EXAFEL,88.046614,10.0,1.0,,exafel_f003,9.999984741210938,68.36278543253925,4,36,1,0.12695040401225968,0.9998779296875,2916,88.3635610778807,ok,,14852.6728515625
roibin_b2,n/a,2585.838623046875,46.478206394738415,2,113.53104,351872,26.111313204801746,EXAFEL,105.28786,10.0,1.0,,exafel_f003,2585.838623046875,46.48372292569925,4,36,1,0.12695040401225968,0.9998779296875,2916,88.3635610778807,ok,,14852.6728515625
cuszhi,1,1.0,88.20740903689149,1,42.37308146399055,2483537,3.6994979337936176,EXAFEL,72.04114916572577,10.0,1.0,,exafel_f003,1.0,88.20746712797556,4,36,1,0.12695040401225968,1.0,2916,88.25341038151083,ok,spline/cr-first/tp,14852.6728515625
pfpl,1,1.0,88.21269880808666,1,172.13429256594725,2561782,3.586503457358979,EXAFEL,160.13385387618516,10.0,1.0,,exafel_f003,1.0,88.21288704416168,4,36,1,0.12695040401225968,0.9998779296875,2916,88.3635610778807,ok,,14852.6728515625
cuszp3,1,1.0,88.21269880808666,1,128.12137,2503840,3.669499648539843,EXAFEL,132.37437,10.0,1.0,,exafel_f003,1.0,88.21288704416168,4,36,1,0.12695040401225968,0.9998779296875,2916,88.3635610778807,ok,,14852.6728515625
roibin_b1,1,9.999980926513672,68.47091417949551,1,85.401547,1540544,5.964023098334095,EXAFEL,88.073622,10.0,1.0,,exafel_f004,9.999980926513672,68.48229223723163,4,75,1,0.2644800083588743,0.99993896484375,6075,88.17170257957684,ok,,14945.138671875
roibin_b2,n/a,7929.451171875,47.30647819621011,2,111.85041,345152,26.619692193584275,EXAFEL,108.63412,10.0,1.0,,exafel_f004,7929.451171875,47.317978689607855,4,75,1,0.2644800083588743,0.99993896484375,6075,88.17170257957684,ok,,14945.138671875
cuszhi,1,1.0000076293945312,88.26329610588448,1,42.55836359593864,2402072,3.8249644473604456,EXAFEL,72.77151184894183,10.0,1.0,,exafel_f004,1.0000076293945312,88.26314080924736,4,75,1,0.2644800083588743,0.999267578125,6075,88.20497074502464,ok,spline/cr-first/tp,14945.138671875
pfpl,1,0.9999847412109375,88.26568848419416,1,170.9556415599881,2537986,3.620130292286876,EXAFEL,157.80159384446276,10.0,1.0,,exafel_f004,0.9999847412109375,88.26543720832609,4,75,1,0.2644800083588743,0.99993896484375,6075,88.17170257957684,ok,,14945.138671875
cuszp3,1,0.9999847412109375,88.26568848419416,1,128.46532,2471600,3.717365269461078,EXAFEL,133.91791,10.0,1.0,,exafel_f004,0.9999847412109375,88.26543720832609,4,75,1,0.2644800083588743,0.99993896484375,6075,88.17170257957684,ok,,14945.138671875
roibin_b1,1,10.0,69.16891059255356,1,87.884911,1633856,5.623408672490109,EXAFEL,87.456592,10.0,1.0,,exafel_f005,10.0,69.2227451628729,4,355,1,1.24477570353859,1.0,28592,89.0341232275086,ok,,16327.5634765625
roibin_b2,n/a,7270.1904296875,47.10773147906753,2,113.39653,400640,22.93290734824281,EXAFEL,106.57758,10.0,1.0,,exafel_f005,7270.1904296875,47.162127168861055,4,355,1,1.24477570353859,1.0,28592,89.0341232275086,ok,,16327.5634765625
cuszhi,1,1.0000038146972656,89.02722518870819,1,42.1120563215019,2515563,3.6523990852147215,EXAFEL,71.88783174762143,10.0,1.0,,exafel_f005,1.0000038146972656,89.02766951559676,4,355,1,1.24477570353859,0.9999847412109375,28592,89.0630661866902,ok,spline/cr-first/tp,16327.5634765625
pfpl,1,1.0,89.03322537042132,1,175.12656297651722,2572883,3.571029075165874,EXAFEL,158.89319313779745,10.0,1.0,,exafel_f005,1.0,89.03323654558737,4,355,1,1.24477570353859,1.0,28592,89.0341232275086,ok,,16327.5634765625
cuszp3,1,1.0,89.03322537042132,1,126.26209,2518816,3.6476820855513066,EXAFEL,130.39055,10.0,1.0,,exafel_f005,1.0,89.03323654558737,4,355,1,1.24477570353859,1.0,28592,89.0341232275086,ok,,16327.5634765625
roibin_b1,1,9.999996185302734,60.86986236878157,1,87.403346,1142544,8.041563388368413,EXAFEL,92.739016,10.0,1.0,,exafel_f006,9.999996185302734,60.87649022565813,4,44,1,0.15516160490387296,0.99932861328125,3564,78.51917939216221,ok,,4823.81396484375
roibin_b2,n/a,442.16107177734375,46.634188481954105,2,105.44253,233120,39.41249142072752,EXAFEL,104.59745,10.0,1.0,,exafel_f006,442.16107177734375,46.6409279254569,4,44,1,0.15516160490387296,0.99932861328125,3564,78.51917939216221,ok,,4823.81396484375
cuszhi,1,1.0,78.43674082116814,1,26.25858641863283,1755082,5.234991869325763,EXAFEL,26.554450867052022,10.0,1.0,,exafel_f006,1.0,78.43672181707329,4,44,1,0.15516160490387296,0.9999933242797852,3564,78.42451009629819,ok,spline/cr-first/cr,4823.81396484375
pfpl,1,0.9999961853027344,78.4410665825057,1,176.63488157490002,2271108,4.045531960611297,EXAFEL,152.92676431424766,10.0,1.0,,exafel_f006,0.9999961853027344,78.44118670179162,4,44,1,0.15516160490387296,0.99932861328125,3564,78.51917939216221,ok,,4823.81396484375
cuszp3,1,0.9999961853027344,78.4410665825057,1,128.52283,2045776,4.49112708331704,EXAFEL,132.13069,10.0,1.0,,exafel_f006,0.9999961853027344,78.44118670179162,4,44,1,0.15516160490387296,0.99932861328125,3564,78.51917939216221,ok,,4823.81396484375
roibin_b1,1,9.999992370605469,68.80984686110415,1,86.144614,1612944,5.696316797111369,EXAFEL,87.992647,10.0,1.0,,exafel_f007,9.999992370605469,68.81725076782418,4,49,1,0.1720970325996099,0.999908447265625,3953,88.70994542725795,ok,,15725.0302734375
roibin_b2,n/a,2477.843505859375,46.20965694115015,2,112.90601,364064,25.23688142744133,EXAFEL,108.3063,10.0,1.0,,exafel_f007,2477.843505859375,46.21713703803872,4,49,1,0.1720970325996099,0.999908447265625,3953,88.70994542725795,ok,,15725.0302734375
cuszhi,,,,1,,,,EXAFEL,,10.0,1.0,all cuszhi tunings failed: spline/cr-first/cr: terminate called after throwing an instance of 'psz_gpu_exception'   what():  GPU API failed at [31m[1m/home/exouser/compressors/cuSZ-Hi/src/pipeline/compressor.inl:312[0m with error: invalid argument(1)  | spline/cr-first/tp: terminate called after ,exafel_f007,,,4,49,,0.1720970325996099,,3953,,fail,,15725.0302734375
pfpl,1,1.0,88.70648838260423,1,174.01212121212123,2586264,3.552553026295846,EXAFEL,160.0,10.0,1.0,,exafel_f007,1.0,88.70649432971227,4,49,1,0.1720970325996099,0.999908447265625,3953,88.70994542725795,ok,,15725.0302734375
cuszp3,1,1.0,88.70648838260423,1,127.49556,2535680,3.6234225138818776,EXAFEL,130.74681,10.0,1.0,,exafel_f007,1.0,88.70649432971227,4,49,1,0.1720970325996099,0.999908447265625,3953,88.70994542725795,ok,,15725.0302734375
roibin_b1,1,10.0,68.84694966251921,1,86.092953,1630336,5.635549972521002,EXAFEL,90.260924,10.0,1.0,,exafel_f008,10.0,68.84952722335763,4,17,1,0.05994880189467819,0.999755859375,1377,88.72979929777188,ok,,15847.154296875
roibin_b2,n/a,1612.660888671875,45.74247684159398,2,114.71035,367488,25.001741553465692,EXAFEL,101.42,10.0,1.0,,exafel_f008,1612.660888671875,45.74508103474227,4,17,1,0.05994880189467819,0.999755859375,1377,88.72979929777188,ok,,15847.154296875
cuszhi,,,,1,,,,EXAFEL,,10.0,1.0,all cuszhi tunings failed: spline/cr-first/cr: terminate called after throwing an instance of 'psz_gpu_exception'   what():  GPU API failed at [31m[1m/home/exouser/compressors/cuSZ-Hi/src/pipeline/compressor.inl:312[0m with error: invalid argument(1)  | spline/cr-first/tp: terminate called after ,exafel_f008,,,4,17,,0.05994880189467819,,1377,,fail,,15847.154296875
pfpl,1,1.0,88.77194588124465,1,172.13429256594725,2599736,3.534143466875098,EXAFEL,159.82187586974672,10.0,1.0,,exafel_f008,1.0,88.77192049194933,4,17,1,0.05994880189467819,0.999755859375,1377,88.72979929777188,ok,,15847.154296875
cuszp3,1,1.0,88.77194588124465,1,127.38243,2557264,3.5928398475871086,EXAFEL,131.40503,10.0,1.0,,exafel_f008,1.0,88.77192049194933,4,17,1,0.05994880189467819,0.999755859375,1377,88.72979929777188,ok,,15847.154296875
roibin_b1,1,9.999969482421875,68.914001011644,1,88.019622,1602176,5.734600942717903,EXAFEL,91.760944,10.0,1.0,,exafel_f009,9.999969482421875,68.94681881627388,4,217,1,0.7607011005851212,0.9998779296875,17473,88.75474427504406,ok,,15828.1748046875
roibin_b2,n/a,8273.2705078125,46.97173956158863,2,114.39044,376528,24.40147877448689,EXAFEL,108.18388,10.0,1.0,,exafel_f009,8273.2705078125,47.004900479210576,4,217,1,0.7607011005851212,0.9998779296875,17473,88.75474427504406,ok,,15828.1748046875
cuszhi,1,1.0000019073486328,88.76369034883486,1,42.54259890354127,2490301,3.6894495886240257,EXAFEL,70.53678909224912,10.0,1.0,,exafel_f009,1.0000019073486328,88.76351436923271,4,217,1,0.7607011005851212,0.999969482421875,17473,88.74061740928737,ok,spline/cr-first/tp,15828.1748046875
pfpl,1,0.9999732971191406,88.76133088748442,1,170.95564155998807,2564262,3.583034806895707,EXAFEL,159.8663697104677,10.0,1.0,,exafel_f009,0.9999732971191406,88.76128074532656,4,217,1,0.7607011005851212,0.9998779296875,17473,88.75474427504406,ok,,15828.1748046875
cuszp3,1,0.9999732971191406,88.76133088748442,1,127.10049,2507824,3.6636701778115213,EXAFEL,134.10556,10.0,1.0,,exafel_f009,0.9999732971191406,88.76128074532656,4,217,1,0.7607011005851212,0.9998779296875,17473,88.75474427504406,ok,,15828.1748046875
roibin_b1,1,9.999977111816406,65.93545869239279,1,87.965688,1618432,5.677000949066751,EXAFEL,89.084701,10.0,1.0,,exafel_f010,9.999977111816406,65.93788556478258,4,16,1,0.05642240178322653,0.99957275390625,1296,85.98978285311004,ok,,11307.9609375
